chang'xiao 长效
wu'ding 吴丁
he'se 和铯
zhou'hao 周镐
hua'shang 划伤
mu'xi'yue'ka 穆西约卡
mai'mang 麦芒
a'yi'gu'li 阿依古丽
da'yang'ge 大秧歌
ka'li'pu'suo 卡利普索
lu'guang'yu 鲁广余
mao'ding 冒顶
qi'rang 齐让
le'mu 勒姆
ka'lun 卡伦
ji'suan'chi 计算尺
wa'ha'ka 瓦哈卡
zhuo'jia'tong 卓家同
nei'xing 内省
jiang'pai'shu 奖牌数
wei'fa'bu'jiu 违法不究
wa'nan'di 瓦南迪
jue'sai'quan 决赛圈
lie'du 烈度
hu'qi'xiang 胡其祥
hu'sheng'qiang 胡胜强
ding'diao 定调
cha'ba 差巴
shan'xiao'ming 单晓鸣
gang'qu 岗区
niao'yang 尿样
ji'jian 己见
bi'le 彼勒
a'qi'zi 阿齐兹
wang'bing'qian 王丙乾
mi'zhou 米粥
hong'fu'shi 红富士
pei'shi'you 裴世友
kai'shi 开市
liu'ji 陆基
qing'ji'hui 青基会
liu'sheng 陆生
yi'che'che 一车车
zhi'chi'wen 支持汶
jiang'tang 降糖
wan'jun 顽军
zu'qi 租期
shi'ju 食具
zhan'qu 站区
zhong'zhu 种猪
li'bo'man 利伯曼
di'ba'shi'liu 第八十六
shang'zhang'lv 上涨率
nen'ye 嫩叶
chen'zuo 称做
wang'ta 望塔
mu'han'mo'di'zha'de 穆罕默迪扎德
ji'tai 机台
za'jia 杂家
shi'jia 识假
jie'niu 解牛
wei'xin'pai 维新派
liu'ding'yi 陆定一
gan'si'he 甘思和
yang'ming'bao 阳明堡
jia'jin'shan 夹金山
he'dao 核岛
yan'jiu'guan'yuan 研究馆员
yan'chuan 言传
yun'quan'yun 云卷云
liang'liang'de 亮亮的
shi'jian 识见
si'qi'ya'wo'ni 斯齐亚沃尼
xie'jin'hui 协进会
wen'yi'zai 文以载
fen'dui'zhang 分队长
tong'guo'lv 通过率
pei'sai'luo 佩塞罗
zha'mao'de 查茂德
sa'zhong 撒种
da'er'fu'er'di 达尔富尔地
ai'zai'zi 艾在孜
che'di 车底
wan'xin'gui 万薪贵
xi'ma 戏码
huang'wan'biao 黄万彪
zha'lu'bi'nuo 扎鲁比诺
gao'xing'jia 高性价
chen'zhong'he 陈忠和
nu'er'xia'ti 努尔夏提
xu'chao'jun 许朝军
lu'mei'hong 卢梅红
zang'yi'yuan 藏医院
bu'lian'ta 补连塔
shi'wu'liu 十五六
gu'xing'fu 谷兴富
su'wan'na'pu 素万那普
zha'mu'su'rong 扎木苏荣
zhang'xi'qiang 张希强
guo'si'yue 郭思乐
yue'li 乐理
ai'lue 艾略
wo'shan 涡扇
mi'ya'si'ni'ke'wei'qi 米亚斯尼科维奇
zi'xun'tai 咨询台
di'dui'kong 地对空
fo'ta 佛塔
misai'li'ya 米塞里亚
bo'lan'deng'bao 勃兰登堡
nong'lv 浓绿
gong'si'chang 公司厂
cang'liang 藏粮
shi'fan'xiao 示范校
liu'ren'ze 陆仁泽
cao'zong'yuan 操纵员
bai'zhong'en 白重恩
jia'ren'he 贾仁和
zhang'hong'zhao 张鸿朝
lin'zhong 林种
luo'sheng'bo 罗盛波
mu'feng'yu 牧封育
chen'yun'guang 陈允广
lian'xin'ka 连心卡
liao'wan'qing 廖万清
nong'bao'can 农保参
ye'xin 叶辛
ying'xiong'zhuan 英雄传
shi'da'chuan 石大川
nan'ka'luo'lai'na 南卡罗来纳
gu'li'sha 古丽莎
nan'ma 南玛
sheng'fang 盛放
bu'yan'rong 卜延荣
tian'wan'chang 田万昌
sheng'ju 盛举
ji'hui 基会
qi'lun'ji'chang 汽轮机厂
liu'deng'hong 陆登宏
chang'huan'qi 偿还期
li'ying'qiang 李英强
jie'min'nan 解民难
yong'du 用度
ying'er'che 婴儿车
jia'ju'chang 家具厂
ma'za 麻扎
zhu'yi'sa 朱以撒
lei'zi'yue 雷子乐
jie'er'zha'wen 杰尔查文
rong'zi'quan 融资券
wai'wei'hui 外委会
hong'chuan'lin 洪传林
ming'wang'chao 明王朝
lv'he'jin'chang 铝合金厂
a'te'si 阿特斯
xu'cai'ti 徐才提
hua'hen 划痕
cui'lv'se 翠绿色
re'lao 热络
bu'xun 卜勋
la'mei'shi 拉梅什
liu'jing 六经
le'tu 勒图
mei'kuai 煤块
re'na 热娜
tan'chuan'bao 檀传宝
shan'pao 山炮
zhong'you 重油
luo'si'lei'ti'nan 罗斯雷提南
zhong'pao 重炮
ma'li'na 玛丽娜
zhong'zui 重罪
ren'bo'nian 任伯年
pen'bo'er'chu 喷薄而出
fan'di 翻地
zhong'nan 终南
gao'gu'shen 高谷深
peng'bao 彭堡
sao'si 缫丝
kang'zang 康藏
yan'hong'jin 殷洪金
wu'xu'wei'xin 戊戌维新
xi'ka 锡卡
chu'ban'jia 出版家
wu'la'zi 乌拉兹
ci'ren'dun'zhu 次仁顿珠
nian'wei 年尾
tang'su'lan 汤素兰
ding'guo'jiang 丁国江
kang'ba'ta 康巴塔
tao'li'ming 陶礼明
nian'he 粘合
jin'yong'nan 金永南
ao'mu 奥姆
yang'wei 阳圩
tou'shu 头数
yao'gang 陶岗
lu'kong 陆空
tao'pian 陶片
wei'cheng'feng'qi 蔚成风气
ju'wu'ding 居无定
zhong'mian 种棉
man'jia'hui 满佳会
shi'jia 实价
jia'shi 家什
shun'jia 顺价
qiu'dian'jiang 邱佃江
fan'wei'cheng 范维澄
jia'de'chun 贾德春
han'qu 寒区
zhong'yang 种羊
mi'ka'ti 米卡提
qing'lv 青绿
li'shi 砾石
qiu'yi'gang 邱以刚
shen'bao'dan 申报单
shi'zhen 石镇
feng'pei'xuan 冯培炫
dan'bai'niao 蛋白尿
liu'xian'qin 六弦琴
xuan'wo 旋涡
zhou'mo'ying 周模英
se'luo'ye'shi'jin 瑟罗耶什金
jiao'zhe 觉着
ye'xiao'gang 叶小纲
a'la'mu'tu'shi 阿拉木图市
a'zi'gu'li 阿孜古丽
pu'zhuo 朴拙
xian'jian 显见
tan'mou 覃某
yi'wei'hui 艺委会
ti'ji 提级
rang'xing 让行
zheng'qu 政区
feng'tian'wei 冯天薇
shuo'zhe 说者
chi'chuan'zhu'xing 吃穿住行
ya'qing'hui 亚青会
jiao'qu 教区
wen'chuan 文传
lin'bo'bo 林波波
piao'cheng'hua 朴成华
shao'jia'qiao 邵家桥
jiao'wu'zhang 教务长
si'shi 斯氏
yang'yan'sui 杨燕绥
du'yu'bo 杜玉波
gai'tai 该台
ping'xi 评戏
hui'nong'ka 惠农卡
sheng'cun'qi 生存期
ao'fan'sai 奥帆赛
di'xian 底限
yang'rui'hong 杨瑞红
zha'chun'ming 查春明
feng'shuang'gui 冯双贵
su'hai'nan 苏海南
yue'shi 悦氏
mo'mo 脉脉
yao'bu'liao 要不了
qiu'dong'zhong 秋冬种
wan'shou'tai 万寿台
tan'zhi'gang 覃志刚
jian'yue'tai 检阅台
xiong'zhui 胸椎
shui'gui 水柜
nan'pan'jiang 南盘江
ding'hu 丁浒
zhe'nan 浙南
lan'zi 蓝字
cao'shi 草食
yu'jia'xue 雨夹雪
lu'chao'jun 鲁朝军
fu'yo'ufu'qiang 扶优扶强
min'yi'le 民亦乐
si'mo'leng'si'ke 斯摩棱斯克
wu'shu 伍数
lian'gang'chang 炼钢厂
yi'fa 以法
tang'men 汤门
lian'tie'chang 炼铁厂
shi'ying'kang 石应康
cao'zhong 草种
shi'xi 世系
lu'chang'lin 卢长霖
nan'guan'xi 南关系
lan'dun 蓝盾
zang'mu 藏木
lu'ben'hai 陆本海
shi'gong'qiao 石拱桥
yang'heng'xie 杨亨燮
sheng'ming'fu 盛明富
mian'tao 棉桃
xiao'jian 校荐
mi'su'la'ta'shi 米苏拉塔市
qiu'si'ni 邱思妮
bu'zha'te 布查特
shen'ling'he 申领和
ma'bo'yi 马伯义
zhe'bang'si 哲蚌寺
lou'gai 楼盖
tie'lao'da 铁老大
dan'ji 单集
ye'shen 叶莘
han'pu'dun 汉普顿
ai'ri'ke 艾日克
bu'sai 卜赛
shi'juan 石卷
di'qiang'wo'ruo 敌强我弱
ta'shi'mu'ha'mei'duo'wa 塔什穆哈梅多娃
kao'gu'xi 考古系
zhang'jun'sai 章均赛
bing'yi'zu 兵一卒
li'xian'pai 立宪派
chang'xiao'xing 长效性
shang'xia'che 上下车
yan'jiang'hui 演讲会
qi'pei'qiang 齐配强
tai'yuan'sheng 太原省
ka'sai'li 卡塞里
miao'rui'lin 缪瑞林
mo'xi'ka 墨西卡
ye'xuan'ping 叶选平
mou'tuo 牟托
li'hei 黧黑
bo'lan'deng'bao'zhou 勃兰登堡州
luo'liu'bo'fu 罗留波夫
zhun'jiang 准将
ka'er'dan'dun 卡尔丹顿
jian'fu 减幅
qi'xie'chang 器械厂
lv'fei 绿肥
liang'du 量度
hu'hua'nan 胡华南
zhi'jian'yuan 质检员
pu'shi'pa'na'tan 普什帕纳坦
zi'bu'dai'yan 自不待言
gai'bao'de 盖保德
hong'jian 红箭
hong'yan 红艳
ze'xiao'sheng 择校生
jing'zhuan 经传
guang'jiao 广角
he'jun'bei 核军备
ying'yue 应约
xian'chuang 铣床
zhai'pi'feng 翟丕锋
he'wei'wen 和维稳
shi'jin'bo 史金波
que'yi'shao'shi 缺衣少食
shi'li 市立
jian'ka 建卡
cuo'zong 错综
a'shi 阿什
you'hua'jia 油画家
ao'sha 奥沙
guan'ce'yuan 观测员
lu'di 露地
chang'xiu 长袖
tao'guan 陶罐
ao'ge'ni'lan'de 奥戈尼兰德
mu'hong 穆虹
zhong'qi'yue 钟其乐
ao'jin 奥金
ti'xian'mu'ou 提线木偶
wai'mi 外秘
bian'ji'jia 编辑家
li'yun'nan 李运南
lu'lu 露露
ai'hong'de 艾洪德
qi'li'xin 齐立新
ke'lai'ao 克莱奥
fu'ping 复评
ping'gu'jia 评估价
yan'huan'ying 殷焕英
wang'chang'yuan 王长元
shi'hui 诗会
zhou'fo'hai 周佛海
liu'xue'yi 陆学艺
she'ji'jia 设计家
zi'you'lv 自有率
ai'li'ken 艾里肯
cheng'nuo'ka 承诺卡
xiao'hong 晓红
fei'guang'zheng 费广正
li'pai 李派
su'she'qu 宿舍区
du'du 读读
yin'tong'ka 银通卡
ri'si 日思
jin'nan 晋南
su'la'sa 素腊萨
zhi'xi 支系
shi'jing'feng 石敬烽
liao'nan 辽南
wan'ben'rong 万本荣
luo'chang'gang 罗长刚
dai'dai'chuan 代代传
fu'qiang 扶强
si'wan'wan'wu'qian'wan 四万万五千万
lai'sha 赖莎
zhuang'xiang'nan 庄乡南
jin'qiu'shu 进球数
ying'di'hua 硬底化
jiang'dong'hong 姜冬红
da'la 打蜡
jia'li 贾理
yin'yue'xi 音乐系
mula'di'qi 姆拉迪奇
miao'fei'yan 缪非言
a'ti'ya 阿提亚
jian'dang'li'ka 建档立卡
shi'pei'jun 史培军
feng'jie'tuan 冯结团
ai'bo'nian 艾博年
zheng'ye'rong 郑叶榕
fa'she'tai 发射台
mu'ta'sa 穆塔萨
jia'ge'na'te 贾格纳特
li'zhong'zhu 李种珠
gu'yuan'zhen 谷垣祯
a'la'zha 阿拉扎
gu'qian'dao 古纤道
fang'han'fu 防寒服
shang'pin'lv 商品率
tao'ya'cheng 陶亚成
liu'qing'yun 陆清云
bai'ke'qi 拜科奇
shan'fu'qiang 单福强
ai'ge 艾格
xing'jian'de 行俭德
jia'xi'jin 贾西津
yao'nong 药农
liu'han'wen 陆汉文
zang'pi 臧否
yin'fu 殷福
qu'li'xian 区礼贤
shang'jin 上劲
ta'xian'di 塌陷地
ai'sen'shi 埃森市
sha'li 莎莉
shu'yi'shi'wan'ji 数以十万计
yi'wu 一无
lin'yue'xuan 林乐宣
yao'du 药都
ao'di'che 奥迪车
yu'qu 渔区
ding'fu 丁福
tao'liang'cun 陶梁村
yue'duan 乐段
shan'po'di 山坡地
ce'hou 侧后
ke'le'fu 呵叻府
se'you 色釉
jin'zhong 浸种
jing'yong 井涌
zang'jia'le 藏家乐
mu'ben 模本
jia'hui'rong 贾会荣
pei'shan'rui 裴珊睿
ka'pei'lei 卡佩雷
lan'rui'ming 蓝睿明
an'ta'li'ya 安塔利亚
zhang'ru'bai 张如柏
liu'dong'che 流动车
feng'jing'yu 冯荆育
zha'qie'luo'ni 扎切罗尼
he'shi'yong 和仕勇
ge'xian'qi'neng 各显其能
liu'yang'cun 陆杨村
hong'shui'lian 红水莲
diao'su'xi 雕塑系
kuang'yu'qi 匡宇奇
gu'zhuang'xi 古装戏
liu'po 柳陂
ba'yin'gao'le'ga'zha 巴音高勒嘎查
mu'bo'ke 姆波科
hua'xue'chang 化学厂
lin'kui 林魁
he'zheng'ce 核政策
ni'mi'zi 尼米兹
da'ji'yue 打击乐
ran'a'rang 冉阿让
sheng'yun 盛运
ma'shi 马市
nan'yin 南音
chang'bu 厂部
san'si'shi'wan 三四十万
ding'jiu'yue 丁九月
tai'wang 台网
huai'yun'qi 怀孕期
wu'lu'que'le 乌鲁却勒
guang'song'cun 广宋村
zhi'pu'wu'hua 质朴无华
nan'yi 南翼
ding'shi'xiong 丁世兄
fa'shao 发梢
bo'si'deng 波司登
jian'zhu'xi 建筑系
zhu'qi'nan 朱启南
yuan'shu 圆熟
za'jiao'zhong 杂交种
feng'shui'qi 丰水期
qiang'mai'qiang'mai 强买强卖
tu'kuai 土块
li'qian'jiang 李乾江
tang'che 唐车
yan'sai'qiu 燕塞秋
pu'gai'juan 铺盖卷
lu'wen 鲁汶
xiang'chao'fang 向朝方
wan'chuan'guang 万传广
ye'wen 叶问
wei'luo'ni'ka 维罗尼卡
cheng'jin'wan 程金万
yu'zhong 鱼种
zhai'zhi'gang 翟志刚
huang'ping 黄屏
bo'en'si'tan 伯恩斯坦
yao'jia 瑶家
zi'te'ke 兹特克
la'gai'er 拉盖尔
piao'yi'chun 朴义春
qi'pi'luo 奇皮洛
yu'mo 余脉
zhu'li'jia 竹立家
xi'jian 习见
lin'yu'jun 林育均
bu'lun'nan 布伦南
san'jianqi'kou 三缄其口
dan'ji 单季
shu'ren 熟稔
nan'xun 南巡
a'wei'jie'te 阿维杰特
feng'gui'fu 冯贵富
he'xie 合写
xuan'chuan'che 宣传车
hua'zhe 划着
shan'jing 单井
jie'niu'shu 解牛术
bo'gui'li 薄贵利
zhao'du 照度
wen'quan'tun 温泉屯
ha'ma'shi 哈马市
qing'jiao 倾角
qin'qian'hong 秦前红
ai'ke'fu'er 艾克甫尔
yi'nan'zhong'zheng 疑难重症
zhi'hui'tai 指挥台
zhong'da 肿大
bi'lu'zhi'sheng 俾路支省
xi'di 席地
sh'ibai'qian'wan 十百千万
yu'hang'fu 宇航服
zhai'feng'ying 翟凤英
a'luo'ding 阿罗丁
pao'mao'di'lou 跑冒滴漏
piao'tai'huan 朴泰桓
zhang'xian'qi 彰显其
ni'ao 尼奥
bu'ri'de'ga'cha 布日德嘎查
jian'xin'bu'yi 坚信不疑
hong'jian 红碱
jia'cun 家村
shan'bing 山槟
zhu'ren'jia 主人家
guang'na'qun 广纳群
nian'lv 年率
ding'sheng'jun 丁声俊
mi'shi'la 米什拉
qi'xu'chun 齐续春
cai'pan'zhang 裁判长
nian'chou 粘稠
a'ting 阿婷
wan'jia'hua 万加华
cuo'che 错车
lu'pei'jun 鲁培军
xue'xi'bao 血细胞
shi'gongfu 石功赋
di'zhi 地直
jian'zhong 间种
xiong'qiang 雄强
chu'fa'di 出发地
da'ban 大办
mai'xian'de 麦贤得
a'geng 阿耕
bu'er'sai'wei'ke 布尔塞维克
du'she'hei 杜涉黑
diao'cha'hui 调查会
da'ling'he 大凌河
que'niao 雀鸟
zhai'fu 窄幅
mai'di'ao 麦迪奥
shi'yang 石羊
qi'jue 奇绝
lu'jing'chun 陆竞春
shi'zhi 石质
jian'shang'jia 鉴赏家
he'ke'xue 核科学
san'jian 散见
shi'ti'peng 诗提蓬
fo'she'li 佛舍利
xin'jie 新解
tao'guo'fu 陶国富
pang'sheng'yong 庞盛永
chao'ke 朝克
qing'xie'du 倾斜度
sha'men'shi'jun 沙门氏菌
pa'ta'ya 帕塔亚
sheng'guo'qi 盛果期
tu'sen'shi 图森市
cha'dang 查档
chao'fang'yuan 朝方愿
she'ji'xi 设计系
he'xin'chou 和薪酬
ben'zhang 贲张
xie'shi 谢氏
tiao'yan 调演
she'se 设色
guo'zhan'guang 郭占广
jia'di'na 加蒂娜
tiao'shi 调式
nuo'nan 诺南
a'na'duo'lu 阿纳多卢
xie'li'fu'pai 谢里夫派
ni'ti 拟提
you'qi'qu 油气区
wan'shu'li 万树梨
na'di 拿地
ou'mi'jia 欧米茄
gao'jiao'wu 高脚屋
xi'xiao 戏校
du'jia'tai 杜家台
hong'qi'jun 红七军
zha'lai 扎赉
zu'xiao 足校
bu'yi'nuo'si'ai'li'si'shi 布宜诺斯艾利斯市
lin'xun'qiang 林勋强
dang'xiao'zu'zhang 党小组长
zhao'pu 赵朴
lei'da'bo 雷达波
huang'yi'lan 黄一蓝
zang'yuan'ling 藏原羚
lin'sheng 邻省
si'ke 思科
jin'sha 金厦
guang'ya 广雅
shuang'tun'cun 双屯村
ka'na'wei'la'er'jiao 卡纳维拉尔角
na'mo 那末
ya'hua 轧花
ma'yuan'cheng 马渊澄
zhi'he 郅和
zha'ke 扎克
deng'di 邓地
zhang'de'guang 张德广
zhuan'bo'tai 转播台
mo'fan'qi 莫凡奇
ta'er'hu 塔尔胡
hua'pao'chang 花炮厂
jing'hua'chang 净化厂
han'mu'zha 汉姆扎
ai'ye 艾叶
hai'yao 海药
wen'shi 温氏
qian'biao 浅表
nong'xue 脓血
mang'shi 芒市
xi'kai'pu'sheng 西开普省
dai'biao'hui 代表会
bu'lv'de'le 布吕德勒
he'gong'cheng 核工程
nai'du 耐读
gan'ta'er 甘塔尔
na'bi'wu'lin'na 纳比乌林娜
shi'fu'hui 世妇会
a'di'le 阿迪勒
sheng'zhi'guo 盛志国
wu'xian'dian'tai 无线电台
shui'zao 水槽
luo'bo'sen 罗伯森
bo'ya'ta 博雅塔
tang'quan 汤泉
sheng'zhen'zhong 盛振中
qing'shui'lv 青水绿
ha'lin'dun 哈林顿
bo'shu 波束
jia'da'mo'er 伽达默尔
le'kang 乐康
ding'song 丁松
sheng'zi'ji 绳子系
mai'di 买地
lu'shan'zhen 陆善真
yin'jian 殷鉴
uo'guo 若果
huo'er'mu'zi 霍尔木兹
shu'jiu'han'dong 数九寒冬
hua'jing 花箐
bo'shu 伯数
bu'an 不谙
luo'xian'shi 罗先市
zeng'bi'qiang 曾必强
qiu'sheng'rong 裘盛戎
ren'ze 任择
qing'bo 清波
an'da'lue'sheng 安大略省
cang'hui 藏汇
cang'bao'yu 藏宝于
ying'zhao'fu 应召服
pei'jian'chang 配件厂
meng'bing'qian 孟冰茜
hua'bo'hui 花博会
jia'mai'le 贾迈勒
zang'dong 藏东
wei'ji'wu 韦奇伍
you'qu 油区
mu'wu'da 母戊大
bo'xi 薄熙
mo'la'wei'ya 摩拉维亚
tan'zuo'jun 谭作均
he'wu 核武
fu'bu 服部
li'pei 李裴
you'hui'ka 优惠卡
ding'mao'zhong 丁茂中
song'shi 松石
wu'yu'song 吴羽松
bi'shi'kai'ke 比什凯克
pei'mou 裴某
lai'hong'qing 来红庆
dong'gu'jia 东孤家
ai'wan'xiu 艾婉秀
dan'ke'long 单克隆
huai'ye 槐叶
wan'shao'fen 万绍芬
ba'li'shi 巴黎市
dao'che 盗车
wang'ji'cheng 王继晟
shi'bi 石碧
shi'jing 石径
zhuang'da'man 庄大馒
fa'lv 发绿
yang'de'ming 杨得明
shi'guan 石棺
zhuo'shi 卓识
shi'fang 石方
ao'fa'lei 奥法雷
yao'he 咬合
shi'mo 史沫
shi'yuan 石原
ke'xue'xi 科学系
shi'mo 石墨
yan'du 盐度
sheng'rong 盛戎
hu'shui'xi 湖水系
nan'xi 南淅
nan'pai 南派
huang'qi'cui 黄奇萃
nan'liang 南梁
tefu'hao 特服号
yu'shi 鱼市
bu'la'ke'qie'wei'qi 布拉克切维奇
che'yu'ming 车玉明
yi'de'li'bu 伊德利卜
a'er'bo'ta 阿尔伯塔
piao'xin'yong 朴信永
cang'jing'dong 藏经洞
zhao'pu'lao 赵朴老
zhu'ce'di 注册地
qin'ding'zang 钦定藏
tang'fan 唐蕃
jia'bo 嘉柏
heng'de'li 亨德利
bu'shang'kong'tan 不尚空谈
luan'lin'zhi 卵磷脂
xing'miao'wen 行妙文
yi'si'di'qi'wa'ya 伊斯蒂奇瓦亚
zheng'lun'jia 政论家
yi'ku'wei'rong 以苦为荣
hong'san'jun'tuan 红三军团
mai'qi 买齐
qi'zhen 齐朕
sheng'zhuan'shuai 盛转衰
fo'dian 佛殿
qi'wa'wa 奇瓦瓦
piao'jun'yong 朴俊勇
bu'lai 不赖
xin'fan'zong 新繁棕
jie'cheng'shuai 竭城衰
bao'er'bo 鲍尔波
qu'shu 区属
ka'shi 卡实
fei'lai'shi 飞来石
sai'lai'si'ting 塞莱斯廷
hun'wei'hui 混委会
dao'gou'yuan 导购员
ka'ju 卡具
geng'qi'chang 耿其昌
ka'ke 卡可
nan'tang 南唐
song'bei'shan 宋北杉
gao'pao'tuan 高炮团
wang'ji'si 王缉思
chuan'shi 川什
ba'ding 巴丁
xu'yi'guo 许以国
jia'yi'le'ma 加依勒玛
hong'tao 红陶
peng'wen'le 彭文乐
ka'weng'da 卡翁达
jia'jing'dun 贾敬敦
hong'ying 红鹰
ai'zi'nv 艾滋女
bu'ka 布卡
gong'da 工大
si'kan'di'na'wei'ya 斯堪的纳维亚
jia'shi'tai 驾驶台
sui'wei 岁尾
sheng'xin'qi 盛信启
ai'xi'hu 艾溪湖
yong'you'lv 拥有率
gaobo'long 高伯龙
da'kou'da'kou'de 大口大口地
na'tan'zi 纳坦兹
fang'zheng'guan 房正纶
xin'jing 心劲
ding'da'wei 丁大卫
hong'yan 红堰
nian'fu 粘附
zhi'chang 纸厂
xian'chen 纤尘
jin'si'dun 金斯敦
zhong'ta 钟塔
qian'fu 钱复
sang'ding'luo 桑丁洛
qian'kuai 铅块
ai'lei'zi 埃雷兹
ma'fu'qiang 马富强
xie'ya'mei 解亚美
wei'lv 尾闾
jiao'hua'chang 焦化厂
chu'pa 锄把
ye'dong'qing 叶冬青
xi'qiang 席强
lian'si 廉思
mu'li'qi 穆里奇
zhang'yun'bo 张运波
cai'shao'nan 蔡绍南
chang'wen 长文
sai'xi'li 塞西莉
dao'ti'xi 导体系
yong'ren'bu'yi 用人不疑
wei'yi 委以
a'zi 阿兹
ye'zai'xing 叶再兴
lu'liang 陆梁
tong'che 童车
sun'ying'bo 孙英波
lou'xiang 陋巷
te'nuo'qi'di'te'lan 特诺奇蒂特兰
zheng'qi'dou'yan 争奇斗妍
lei'bao 雷暴
pian'shi 篇什
dai'li'hang 代理行
tang'ao 堂奥
ta'er 塔尔
chang'yi 长衣
dao'zhong 稻种
tao'mou 陶某
qu'tao'pu 区桃浦
tu'shuo 图说
zhong'ji 种鸡
chang'gu 长鼓
qin'niao 禽鸟
dang'qi'hong 党旗红
duo'jia 多价
fu'jiu'hui 妇救会
zhan'lue'qu 战略区
a'lei'xi'bo 阿雷西博
bai'shi'yi 白市驿
mu' xu 穆圩
shi'jing 实劲
zhong'guo 种果
pei'du 陪都
jian'bu'xian 见不贤
liu'guang'da 刘光大
liu'quan'he 刘全和
ran'cheng'qi 冉承其
yan'yi'qun 严以群
tang'wang'chao 唐王朝
nue'yuan'chong 疟原虫
ding'gai 顶盖
ding'ka'zu 丁卡族
xie'yi'jia 协议价
jin'qian'sheng 金乾生
ye'yi'tian 叶以田
wan'chong'shan 万重山
zha'ye'ni 扎耶尼
xie'wei'xian 谢维铣
mao'yi'qu 贸易区
ze'ren'ren'yuan 责任人员
sa'er'ci'bao 萨尔茨堡
pai'xi 排戏
qiang'zhong 抢种
bi'geng'bu'chuo 笔耕不辍
pei'yong'jun 裴永俊
zi'xun'tai 咨询台
liang'du 量度
du'du 读读
liu'po 柳陂
mu'wei 穆圩
