nei'rong,6636 内容,6636;
xuesong,28 雪松,28;
zeng'jia,9763 增加,9763;
ji'zhuan'wan,6 急转弯,6;
nuo'ya,11 诺亚,11;
shi'ying'xing,63 适应性,63;
yun'qiu,43 运球,43;
da'chen,185 大臣,185;
mo'er,30 摩尔,23;莫尔,7;
xialiunv,10 夏留女,10;
zhuanjingtong,9 转经筒,9;
zhi'tu,42 制图,42;
you'ji'wu,29 有机物,29;
maoer,12 毛尔,12;
you'yue,180 优越,180;
xin'zhengxie,12 新政协,12;
gan'xie,1342 感谢,1342;
shen'you'gan'chu,246 深有感触,246;
mo'di,120 摸底,120;
xiao'xi'fu,5 小媳妇,5;
chen'wei'liang,7 陈伟良,7;
zeng'jin,1658 增进,1658;
huang'yan,56 谎言,56;
xian'che,5 闲扯,5;
yan'liang,7 阎良,7;
zhi'ti,106 肢体,106;
jia'ban'fei,20 加班费,20;
ru'wei,90 入围,90;
mo'da,72 莫大,72;
gan'xin,45 甘心,45;
yi'zheng'tao,212 一整套,212;
dai'li'zhi,43 代理制,43;
hui'fei'yan'mie,9 灰飞烟灭,9;
lu'hang,39 陆航,39;
shuang'da,39 双打,39;
motelandi,7 莫特兰蒂,7;
gu'sheng'wu'xue,5 古生物学,5;
maofa,22 贸发,22;
ma'qingjun,5 马庆军,5;
kong'tiao,265 空调,265;
shenjilan,37 申纪兰,37;
xian'chu,129 显出,111;现出,18;
zhang'zhi'dong,11 张之洞,11;
gelifeisi,6 格里菲斯,6;
ju'pengyan,5 鞠鹏艳,5;
pi'pan,275 批判,275;
mo'te,16 模特,16;
liao'liao'ke'shu,7 寥寥可数,7;
kang'zhuo,8 炕桌,8;
chen'enlu,8 陈恩禄,8;
hao'zhenshan,19 郝振山,19;
yi'luo'qian'zhang,14 一落千丈,14;
yuxin'an,12 喻新安,12;
cha'feng,157 查封,157;
quan'jiao,23 拳脚,23;
quan'jian,22 全歼,22;
shu'lou,39 疏漏,39;
sui'fen'he,8 绥芬河,8;
weizhuo,9 魏卓,9;
ba'da'ling,9 八达岭,9;
qingyijiang,8 青弋江,8;
fen'nei,52 分内,52;
shen'ji'ju,47 审计局,47;
hang'su,14 航速,14;
man'jie,27 满街,27;
guan'li'zhan,61 管理站,61;
yue'nanshe'hui'zhu'yigong'he'guo,6 越南社会主义共和国,6;
weizhui,36 围追,36;
mo'si,6 摩斯,6;
shizhu'ren,60 室主任,60;
quangang,28 全港,28;
lian'guan'xing,13 连贯性,13;
zheng'yongnian,35 郑永年,35;
qiang'lie,2286 强烈,2286;
ge'xian'qi'neng,6 各显其能,6;
wan'ban'wu'nai,14 万般无奈,14;
zhang'zeyang,6 张泽阳,6;
fang'niu,20 放牛,20;
weiman,5 帷幔,5;
zao'fan,75 早饭,65;造反,10;
mo'ru,5 莫如,5;
hu'long,6 呼隆,6;
gong'cheng'shen'tui,8 功成身退,8;
huang'you,11 黄油,11;
caijin,37 财金,37;
hang'tian,1550 航天,1550;
rong'ye,12 溶液,12;
bi'zhen,53 逼真,53;
lian'xiang,192 联想,192;
mo'ri,17 末日,17;
bei'shou,386 备受,374;倍受,12;
guo'lai'ren,6 过来人,6;
rou'bing,8 肉饼,8;
de'zhi,752 得志,12;得知,740;
cai'zi'jia'ren,6 才子佳人,6;
rong'xu,33 容许,33;
zhui'bing,26 追兵,26;
luo'linquan,6 罗林泉,6;
kehuo,30 客货,30;
hua'rui,17 花蕊,10;华锐,7;
mo'qi,178 末期,75;默契,103;
jiao'tong'xian,22 交通线,22;
xiao'shun,62 孝顺,62;
xiao'shuo,934 小说,934;
you'yin,8 油印,8;
hua'run,32 华润,32;
re'huo'chao'tian,66 热火朝天,66;
chan'wei'wei,17 颤巍巍,17;
piao'miao,6 缥缈,6;
piao'mian,10 票面,10;
can'jun,105 参军,105;
yi'li'ha'sa'ke'zi'zhi'zhou,9 伊犁哈萨克自治州,9;
shi'fang'shi,43 什邡市,43;
nian'lishui,7 年利税,7;
jing'huang,24 惊慌,24;
shang'gan,29 伤感,29;
jing'yan,6791 经验,6791;
dan'ji'xiang,37 单霁翔,37;
rong'ru,1664 荣辱,206;融入,1458;
chengxiang,44 成像,44;
shichunlu,15 施春禄,15;
you'xiang,94 诱降,6;邮箱,81;幽香,7;
fu'yu'xian,8 富裕县,8;
li'fei,17 李飞,17;
xun'huan,1698 循环,1698;
kang'kai,119 慷慨,119;
guang'jiao'hui,167 广交会,167;
li'ji'heng,9 李纪恒,9;
lv'pingan,11 吕平安,11;
yi'meimei,17 一枚枚,17;
guan'men,159 关门,159;
xiao'shou,3424 销售,3402;消瘦,22;
hou'du,86 厚度,86;
shen'jing'bai'zhan,13 身经百战,13;
kao'shan'chi'shan,21 靠山吃山,21;
fen'nie,23 分蘖,23;
zheng'chang'zhi,9 正常值,9;
wei'guofen'you,13 为国分忧,13;
shi'jie'mao'yi'zu'zhi,217 世界贸易组织,217;
xiao'yuanwang,19 校园网,19;
wai'shang,326 外商,292;外伤,34;
yin'ren,17 隐忍,17;
song'zhe,12 宋哲,12;
fei'tian,83 肥田,5;飞天,78;
de'zhu,83 得主,83;
gu'jianzhu,52 古建筑,52;
hang'wu,5 航务,5;
a'ke'su'di'qu,8 阿克苏地区,8;
zaonong,18 枣农,18;
di'fei,6 底肥,6;
quan'wei'xing,243 权威性,243;
sui'bo'zhu'liu,21 随波逐流,21;
you'de'shi,103 有的是,103;
shou'bu'liao,50 受不了,50;
xiao'kong,13 小孔,13;
deng'jia,9 等价,9;
mo'ni,351 模拟,351;
jie'ji'dou'zheng,68 阶级斗争,68;
zhangchang'fu,5 张长富,5;
rong'qi,74 容器,74;
jiao'xing'jia,7 绞刑架,7;
qingsen,7 青森,7;
jin'zhan'peng,32 金展鹏,32;
tou'liang'huan'zhu,9 偷梁换柱,9;
xi'jia,10 西甲,10;
jiang'yan,41 讲演,41;
jiang'yao,102 将要,102;
mai'mai,360 买卖,360;
you'zeng'wu'jian,31 有增无减,31;
hou'bo,5 厚薄,5;
wenyixing,8 文沂星,8;
suo'dao,34 索道,34;
xi'jie,698 洗劫,12;细节,686;
xia'zhong,20 下种,20;
fa'xie,44 发泄,44;
lao'dong'zhe,1151 劳动者,1151;
er'shen,56 二审,56;
mo'mo,388 脉脉,7;摸摸,27;默默,346;馍馍,8;
hou'bu,30 候补,30;
baibao'hai,33 白宝海,33;
xi'jin,5 西晋,5;
jing'gang'shan'shi,17 井冈山市,17;
luo'chang'gang,6 罗长刚,6;
pi'jiu'chang,7 啤酒厂,7;
wai'sheng'ren,5 外省人,5;
yi'jin,15 衣襟,15;
yi'jiu,424 依旧,424;
mo'lu,10 末路,10;
renlao,7 任老,7;
wang'jun,96 王军,58;王峻,8;王君,30;
he'qian'ting,36 核潜艇,36;
xin'xiang'yang,7 辛向阳,7;
hou'ai,35 厚爱,35;
guang'qizheng,8 光启正,8;
sheng'xing,181 盛行,148;生性,33;
zhong'zhizhe,8 种植者,8;
yue'gao,8 约稿,8;
wang'jue,8 王珏,8;
yi'jia,278 衣架,16;议价,84;一家,178;
hang'ye,6646 行业,6646;
mo'li,162 磨砺,127;莫里,7;茉莉,11;魔力,17;
wu'kong'bu'ru,7 无孔不入,7;
mai'luo,135 脉络,135;
le'ling,30 乐陵,10;勒令,20;
a'de,9 阿德,9;
you'jia'zheng'quan,34 有价证券,34;
suan'zuo,31 算作,31;
fei'li,73 费力,61;肥力,12;
wei'shou,187 为首,187;
li'ke'wei,5 李克伟,5;
guo'yan'yun'yan,5 过眼云烟,5;
wang'maojun,23 王茂俊,23;
xingyiting,9 刑一庭,9;
chao'shou,75 超收,75;
ban'shu,180 半数,180;
xiao'hu,72 小胡,19;小户,53;
yin'shuaji,8 印刷机,8;
xue'xian,8 雪线,8;
zhu'ge'liang,52 诸葛亮,52;
xue'xiao,8468 学校,8468;
kong'qing'hua,12 孔庆华,12;
fa'xue,243 法学,243;
xiao'he,106 萧何,35;小河,65;小何,6;
nei'cun,5 内存,5;
ou'yangjian,5 欧阳坚,5;
luo'ji'xue,15 逻辑学,15;
min'zu'zhu'yi,47 民族主义,47;
zai'pei,182 栽培,182;
cai'chang,68 菜场,60;蔡畅,8;
ge'shi'ge'yang,45 各式各样,45;
yi'kao,2566 倚靠,6;依靠,2560;
shenti,6 沈悌,6;
ta'cheng,13 塔城,13;
zhong'xia'xun,38 中下旬,38;
yang'bin,32 杨彬,9;杨斌,23;
xiao'chen,84 小陈,60;消沉,24;
ba'zhou'qu,5 巴州区,5;
bei'gao'ren,343 被告人,343;
ju'ban,3670 举办,3670;
ju'bao,862 举报,862;
zhou'yong,18 周勇,18;
xie'hou,28 邂逅,28;
zhou'shan'shi,49 舟山市,49;
wo'xuan,96 斡旋,96;
huan'shi,23 环视,23;
dian'fan,334 典范,334;
pan'jue'shu,24 判决书,24;
shen'zheng,6 深证,6;
muruishan,9 母瑞山,9;
xiao'ge,14 校歌,9;小葛,5;
cheng'qian'bi'hou,12 惩前毖后,12;
zhangrui'zhen,25 章瑞珍,25;
a'ba,71 阿坝,56;阿爸,15;
xiu'qi'yu'gong,32 休戚与共,32;
nu'jiang,94 怒江,94;
jin'tui,86 进退,86;
hei'shi'du,6 黑石渡,6;
di'gei,40 递给,40;
li'yu'mei,5 李玉妹,5;
fang'shan,18 房山,18;
fang'shao,15 放哨,15;
you'yan,39 油烟,25;右眼,14;
lihai,16 里海,16;
li'xiao'hong,5 李小红,5;
kuai'su,3702 快速,3702;
xiao'ji,388 小鸡,11;校际,67;消极,310;
wei'kuang'ku,19 尾矿库,19;
wei'shenggong'zuo'zhe,11 卫生工作者,11;
a'bu,12 阿部,6;阿布,6;
xia'gang,338 下岗,338;
hou'ji'fa'ren,24 后继乏人,24;
zhu'xian'zhen,10 朱仙镇,10;
quan'hui,806 全会,806;
ji'fen,260 积分,235;记分,12;激愤,13;
shu'lin,67 树林,67;
fu'bu'si,28 福布斯,28;
tu'zhuren,7 土著人,7;
quan'sheng,3798 全盛,8;全胜,38;全省,3752;
ji'fei,32 计费,32;
piniela,14 皮涅拉,14;
jiu'zheng,662 纠正,662;
jie'chu,2050 戒除,15;杰出,438;借出,10;接触,1137;解除,450;
liang'cang,77 粮仓,77;
bian'tong,45 变通,45;
jie'chi,52 劫持,52;
heng'gen,47 横亘,47;
an'suan,10 暗算,10;
ban'shi,1299 版式,31;办事,1268;
qi'jiang,61 起降,61;
xiong'huai'da'zhi,7 胸怀大志,7;
niu'shang,15 扭伤,15;
wu'deng'sheng,57 吴登盛,57;
xiao'lv,2311 效率,2297;小吕,14;
xiao'lu,231 销路,89;小路,127;小陆,15;
wang'an'shi,12 王安石,12;
qing'zhuang'nian,157 青壮年,157;
gong'yemin,6 公冶民,6;
gu'yan'sheng,10 谷彦生,10;
jiao'zhen,50 较真,50;
tou'piaozhe,16 投票者,16;
sha'la'bo'wa,33 莎拉波娃,33;
xiao'ma,20 小马,20;
ye'qing,26 叶青,26;
shi'jian,23399 识见,8;世间,68;时间,10568;事件,4694;实践,8061;
shenfuxin,11 沈抚新,11;
guan'li'zhen,6 关丽珍,6;
xiao'li,368 小李,86;效力,267;小丽,15;
nei'luo'bi,89 内罗毕,89;
gezhou,78 各州,78;
ken'ni'yaren,5 肯尼亚人,5;
qieerjizuo'fusi'ji,8 切尔基佐夫斯基,8;
chu'fang,558 厨房,192;处方,217;出访,149;
shenpi,20 身披,20;
jiang'xia,8 江霞,8;
cai'zheng'suo,9 财政所,9;
ju'bei,1600 举杯,19;具备,1581;
yang'ben,249 样本,249;
sha'tian,26 沙田,26;
ju'ben,250 剧本,250;
shi'jiao,497 市郊,41;视角,456;
wen'quan'tun,6 温泉屯,6;
hai'ning'shi,17 海宁市,17;
yao'qing'sai,27 邀请赛,27;
lu'bu'shi'yi,7 路不拾遗,7;
zhi'hui'yuan,116 指挥员,116;
yang'guan,7 羊倌,7;
fei'qi,263 废弃,201;废气,62;
bei'duo'fen,26 贝多芬,26;
xiao'ke,11 肖克,5;萧克,6;
guan'jian'xing,136 关键性,136;
cunzhi'shu,309 村支书,309;
jiang'xin,20 匠心,11;江心,9;
yangbing,5 阳兵,5;
qiu'dong'zhong,7 秋冬种,7;
zhu'chao'yin'feng,21 筑巢引凤,21;
fei'pu,9 飞瀑,9;
bi'suo,69 比索,69;
qin'mingying,6 秦明英,6;
chang'sheng,34 昌盛,26;常胜,8;
sou'xun,79 搜寻,79;
yu'yu'gua'huan,8 郁郁寡欢,8;
yin'qie,155 殷切,155;
shen'ji'miao'suan,5 神机妙算,5;
xiao'nv,5 小女,5;
da'jiang'sai,60 大奖赛,60;
chuan'ren,85 传人,85;
ao'lan'duo,6 奥兰多,6;
yin'qin,8 殷勤,8;
dian'chizu,15 电池组,15;
can'jia,7855 参加,7855;
wu'geyigong'cheng,53 五个一工程,53;
chen'xing'xing,9 陈星星,9;
dian'hua'yin,10 碘化银,10;
zhaoji'ping,13 赵季平,13;
rehan,7 热汗,7;
zong'fang'zhen,13 总方针,13;
ku'shui'qi,21 枯水期,21;
re'dian'chang,29 热电厂,29;
liu'jiaan,8 刘家安,8;
yue'han'sen,8 约翰森,8;
meng'you,136 盟友,136;
yi'wugong,9 义务工,9;
fei'su,177 飞速,177;
li'fang'mi,902 立方米,902;
yao'bu'ran,22 要不然,22;
zi'shahu,37 紫砂壶,37;
hong'xinyuan,6 宏鑫源,6;
dou'zeng,32 陡增,32;
liu'yu'qin,11 刘玉琴,11;
qiong'ze'si'bian,5 穷则思变,5;
xiao'mi,55 小米,55;
dang'shou,56 党首,56;
ping'wei'hui,29 评委会,29;
chao'shui,37 潮水,37;
wang'xi'guang,31 汪锡广,31;
ao'la'ji,9 奥拉基,9;
zhang'buxing,15 张步兴,15;
ren'zhong'dao'yuan,199 任重道远,199;
cu'cao,73 粗糙,73;
dong'ling'ying,11 冬令营,11;
guan'bing,1873 官兵,1873;
xiao'mo,25 消磨,25;
meng'yin,8 蒙阴,8;
wa'di,63 洼地,63;
cai'shi'chang,157 采石场,14;菜市场,143;
lei'zi'yue,8 雷子乐,8;
ke'neng,9843 可能,9843;
ling'ren'xin'fu,42 令人信服,42;
jie'cai,7 芥菜,7;
jiao'pai,27 教派,27;
zhan'xian,1860 占先,7;展现,1361;战线,492;
sang'zangfei,10 丧葬费,10;
hang'ci,12 航次,12;
zhan'xiao,29 展销,29;
a'ma,47 阿妈,47;
duan'tou,32 断头,32;
hei'long'jiangdui,5 黑龙江队,5;
zhongye,9 中烨,9;
de'zui,119 得罪,119;
wen'xue'yu'yan,5 文学语言,5;
chang'kuai,28 畅快,28;
qing'guang'yan,5 青光眼,5;
zong'shang'hui,32 总商会,32;
mo'bu,26 莫不,26;
liguan'jun,5 励冠军,5;
ping'chang'xian,6 平昌县,6;
shi'zi'shan,6 狮子山,6;
ji'qiang,25 机枪,25;
a'li,331 阿里,331;
jiao'zhan,26 交战,26;
kuai'yi,19 快意,19;
li'runda,13 李润达,13;
shan'chang,134 山场,9;擅长,125;
zhang'kuang,5 张狂,5;
dai'cheng'xian,7 大城县,7;
zhangshushan,7 章树山,7;
ren'fu'yu'shi,17 人浮于事,17;
gu'fang'zi'shang,9 孤芳自赏,9;
wan'xiang'geng'xin,7 万象更新,7;
a'la,15 阿拉,15;
jiexia,113 结下,113;
huo'yi'fei'qian,18 获益匪浅,18;
qian'tou,695 牵头,595;前头,100;
a'le,12 阿勒,12;
bi'shu,39 避暑,39;
xin'xi'hua,1593 信息化,1593;
ku'wei,48 苦味,7;枯萎,41;
li'xing'gen,9 励行根,9;
biao'zhang'hui,14 表彰会,14;
guai'zhang,74 拐杖,74;
hanzhubin,14 韩杼滨,14;
mo'ce,24 莫测,24;
yang'ban,127 样板,127;
you'er'yuan,898 幼儿园,898;
su'ge'la,26 苏格拉,26;
mo'ca,227 摩擦,227;
jian'rongbingxu,21 兼容并蓄,21;
shi'jing,153 市井,34;石径,5;实景,66;实劲,5;诗经,43;
hua'ran,29 哗然,29;
kang'zhen,187 抗震,187;
zong'zhi'hui,207 总指挥,207;
peng'juan,21 棚圈,21;
er'shou,163 二手,163;
huang'tang,40 荒唐,40;
nong'ji'zhan,28 农技站,28;
a'ka,5 阿卡,5;
yin'song,42 吟诵,42;
qianzhi,7 前指,7;
yi'dian'er,62 一点儿,62;
lu'jiachang,8 卢家场,8;
cao'yuan,1241 草原,1241;
li'ya'jie,9 李亚杰,9;
tu'te'chan,21 土特产,21;
bu'you'fen'shuo,5 不由分说,5;
chan'xue'yan,304 产学研,304;
xiashimou,5 夏诗谋,5;
ke'kao'xing,145 可靠性,145;
ming'ming,468 明明,73;命名,395;
xiao'se,9 萧瑟,9;
chuan'ran,65 传染,65;
he'bei'sheng,604 河北省,604;
neisheng'li,11 内生力,11;
ke'jian'cao,6 课间操,6;
xiao'sa,48 潇洒,48;
bao'xing'xian,12 宝兴县,12;
lan'chou'gu,7 蓝筹股,7;
sunbida,7 孙必达,7;
da'zhongzhuan,51 大中专,51;
nan'chuan,25 南川,25;
nong'tian'shui'li,500 农田水利,500;
xiao'qu,1941 小曲,6;小区,1873;小觑,62;
cheng'guan'qu,33 城关区,33;
da'chao,216 大潮,216;
ge'jiu'ge'wei,7 各就各位,7;
bao'feng'yu,30 暴风雨,30;
da'chai,6 打柴,6;
xiao'qi,18 小憩,18;
cao'dian,18 草甸,18;
you'yong,468 有用,147;游泳,321;
fei'wo,58 肥沃,58;
xie'hui,3026 协会,3026;
kuai'zi,68 筷子,68;
zhang'xin'min,5 张新民,5;
xie'huo,40 卸货,40;
fei'wu,274 废物,222;飞舞,52;
mo'ai,34 默哀,34;
jin'xiu'yao'zu'zi'zhi'xian,6 金秀瑶族自治县,6;
yinglixing,84 营利性,84;
cuncun,319 村村,319;
cisheng,57 次生,57;
ling'yong'qian,6 零用钱,6;
mo'li'huacha,40 茉莉花茶,40;
zheng'fan,71 正反,65;郑凡,6;
jiao'pei,7 交配,7;
jun'jian,114 军舰,114;
bei'ren,5 北人,5;
wu'cong'xia'shou,10 无从下手,10;
zouxiaoyun,6 邹晓云,6;
qin'jian,67 亲见,12;勤俭,55;
fei'xu,263 废墟,263;
xian'guang,12 闲逛,12;
nue'yuan'chong,5 疟原虫,5;
chong'yi'xian,5 崇义县,5;
xin'wei,409 欣慰,409;
xin'wen,6144 新闻,6144;
xu'zhi,29 须知,29;
bian'dian'zhan,86 变电站,86;
mao'cao,69 茅草,69;
yu'chuan,163 渔船,163;
fa'pi'qi,16 发脾气,16;
ou'laiya,19 欧莱雅,19;
fei'ye,22 扉页,22;
zhigen,66 植根,66;
kai'tuo'jin'qu,177 开拓进取,177;
du'juan'hua,9 杜鹃花,9;
he'cai'sheng,10 喝彩声,10;
fei'yi,51 非议,51;
bian'guan,39 边关,39;
ge'zhi'yi'ci,27 各执一词,27;
xiao'su,9 小苏,9;
tai'yang'shen,6 太阳神,6;
zi'zheng'qiang'yuan,8 字正腔圆,8;
lin'bang,88 邻邦,88;
liu'tong'ling'yu,50 流通领域,50;
fanzhi'hong,11 范志红,11;
kang'zhan,568 抗战,568;
an'jumeng,26 安居梦,26;
li'fang'ti,6 立方体,6;
mei'shuzi,8 美术字,8;
yu'cebu,6 预测部,6;
cheng'nuo'zhi,24 承诺制,24;
yue'gui,8 越轨,8;
you'chang'zhuan'rang,10 有偿转让,10;
ren'tou,70 人头,70;
fei'yu,25 飞语,6;飞鱼,19;
zhuan'ke'xue'xiao,25 专科学校,25;
chen'shulong,6 陈树隆,6;
di'wang'jiang'xiang,10 帝王将相,10;
zhong'xuan,66 中选,66;
bei'fa'jun,15 北伐军,15;
kuaiyun,10 快运,10;
zhan'luan,101 战乱,101;
wei'ba'qun,9 韦拔群,9;
a'ge,7 阿哥,7;
feng'shi'xing,12 风湿性,12;
zhi'sheng,68 制胜,68;
shishui,9 失水,9;
pai'shezhe,8 拍摄者,8;
han'liang,692 含量,692;
fei'yuexing,5 飞跃性,5;
bao'zhusheng,12 爆竹声,12;
jing'yun,6 京韵,6;
lun'wen,892 论文,892;
lun'wei,196 沦为,196;
yue'bing,381 阅兵,87;月饼,294;
po'lan'bu'kan,7 破烂不堪,7;
zu'xie'beisai,5 足协杯赛,5;
tu'ru'qi'lai,94 突如其来,94;
shu'jiu'han'tian,6 数九寒天,6;
tou'fang,409 投放,409;
chan'chan'wei'wei,7 颤颤巍巍,7;
biao'xiang,56 表象,56;
feng'he'ri'li,11 风和日丽,11;
min'zu'xing,41 民族性,41;
yi'ying'ju'quan,124 一应俱全,124;
hun'huang,5 昏黄,5;
lei'dian,25 雷电,25;
wu'shi'liu,12 五十六,12;
a'la'bi,30 阿拉比,30;
pan'ruo'liang'ren,12 判若两人,12;
chen'jinmei,20 陈进梅,20;
da'xi'yang,63 大西洋,63;
a'la'bo,758 阿拉伯,758;
a'er,47 阿尔,47;
shen'qing'zhe,55 申请者,55;
qiang'lue,5 抢掠,5;
ma'lai'xi'ya,583 马来西亚,583;
chen'jun'shi,11 陈君石,11;
yi'yang'shi,7 益阳市,7;
di'ya'wu,50 抵押物,50;
han'chuang,7 寒窗,7;
fo'jiao,210 佛教,210;
pi'qiu,16 皮球,16;
cheng'nei,67 城内,67;
jue'fei,169 绝非,154;决非,15;
zheng'dian'lv,16 正点率,16;
san'san'liang'liang,25 三三两两,25;
ge'zai'xi,7 歌仔戏,7;
san'huan,54 三环,54;
pin'ku,47 贫苦,47;
sang'tuo'si,17 桑托斯,17;
biao'bing,249 标兵,243;彪炳,6;
kuai'er,10 块儿,10;
wan'feng,6 晚风,6;
zi'lai'shui,324 自来水,324;
xu'mu'ju,23 畜牧局,23;
yi'dong'bu'dong,13 一动不动,13;
qiong'bang'zi,6 穷棒子,6;
nake,7 纳克,7;
hou'gu'zhi'you,235 后顾之忧,235;
jin'chang'bo,42 金昶伯,42;
wu'hong'yang,11 吴洪洋,11;
chu'sheng,909 出生,909;
wang'yunhuan,7 汪韵环,7;
ba'jiushi,64 八九十,64;
zhuan'shunjishi,12 转瞬即逝,12;
pei'lian,7 陪练,7;
pei'liao,20 配料,20;
pin'lv,174 频率,174;
maguo'hui,5 马国辉,5;
zhu'lian'bi'he,9 珠联璧合,9;
xi'men,14 西门,14;
changhe,6 昌河,6;
ding'ding,31 丁丁,31;
xing'feng'zuo'lang,10 兴风作浪,10;
gonggu,6 宫古,6;
tou'cun,13 头寸,13;
jiang'nanxiang,8 蒋南翔,8;
chai'qian'hu,59 拆迁户,59;
xu'yong,10 徐勇,10;
bi'shi,151 笔试,115;彼时,23;鄙视,13;
huo'jiandui,31 火箭队,31;
wei'er'shi,21 威尔士,21;
jin'tie,336 津贴,255;紧贴,81;
guan'shang'xing,166 观赏性,166;
nan'ming'qu,16 南明区,16;
nei'xiao,91 内销,91;
zhi'ban'yuan,17 值班员,17;
re'shui'qi,105 热水器,105;
jian'sheshi,64 建设史,64;
nei'xian,35 内线,35;
yan'zhi'zao'zao,10 言之凿凿,10;
kuai'di,639 快递,639;
zhang'wang,28 张望,28;
ti'chun,10 提纯,10;
yi'xiao'jian'da,12 以小见大,12;
lai'ren,15 来人,15;
ma'xiao'tian,8 马晓天,8;
yao'jian,77 姚坚,50;药检,6;要件,21;
heng'taihao,6 恒泰豪,6;
gao'bie,471 告别,471;
geng'huan,272 更换,272;
ge'yong,31 歌咏,31;
zhao'ke'zhi,41 赵克志,41;
si'wuyue,6 四五月,6;
song'jing,7 诵经,7;
zhi'ye'hua,135 职业化,135;
diao'ping,11 吊瓶,11;
ping'pang'qiu'dui,65 乒乓球队,65;
zhi'dingzhe,54 制定者,54;
zhujiang,5 竹浆,5;
renhua,19 人化,19;
li'lun'xing,23 理论性,23;
xin'sui,8 心碎,8;
chen'ji'wu,15 沉积物,15;
ga'shi'xian,8 伽师县,8;
dian'tang,133 店堂,8;殿堂,125;
qiuliang,54 秋粮,54;
jing'bing,48 精兵,48;
tou'tong,105 头痛,105;
zhiju,7 支局,7;
liezhi,47 列支,47;
yi'tangtang,6 一趟趟,6;
hao'xin'ren,96 好心人,96;
lv'zu'shan,22 吕祖善,22;
chen'jungui,10 陈俊贵,10;
fei'xue,12 飞雪,12;
fang'shou,271 防守,173;放手,98;
kusa,6 库萨,6;
chuan'gan'qi,75 传感器,75;
shu'shou,11 戍守,11;
mu'banfang,7 木板房,7;
a'po,41 阿婆,41;
yuan'xian,251 原先,251;
yuan'xiao,955 院校,863;元宵,46;远销,46;
dao'feng,24 刀锋,24;
kuangzha,8 矿渣,8;
hua'nong,47 花农,33;化脓,14;
shi'ye'you'cheng,15 事业有成,15;
ya'ge'er,5 雅戈尔,5;
he'er'man,6 赫尔曼,6;
chu'ban'zhe,25 出版者,25;
shuqing,5 舒庆,5;
huan'shou,10 还手,10;
shi'pin'dian,7 食品店,7;
zhang'xiaobei,9 张小北,9;
zhiji,114 至极,9;制剂,49;职级,56;
yi'mu'yi'yang,31 一模一样,31;
xia'hai,60 下海,60;
shan'hu'jiao,13 珊瑚礁,13;
xiao'ti'da'zuo,21 小题大做,21;
tiao'kong,2692 调控,2692;
pu'tian'shi,25 莆田市,25;
zhihu,20 支护,20;
xi'mao,5 细毛,5;
pi'jing'zhan'ji,50 披荆斩棘,50;
zong'dui'zhang,30 总队长,30;
kong'que,102 孔雀,29;空缺,73;
xikang,10 西康,10;
cang'bai,80 苍白,80;
dou'xiao,5 逗笑,5;
fang'dan'yi,8 防弹衣,8;
tong'yi'zhan'xian,481 统一战线,481;
yi'ci'chong'hao,32 以次充好,32;
mai'tong,6 买通,6;
weilie,159 位列,159;
jin'shi'wei'kai,6 金石为开,6;
fang'yuan,302 方圆,89;房源,213;
wang'jin'mei,20 王尽美,20;
ju'ligan,17 距离感,17;
chao'shan,7 潮汕,7;
fen'shua,25 粉刷,25;
zuyuan,6 祖源,6;
zi'xiao,15 自小,15;
ban'zhu'ren,192 班主任,192;
kuai'bu,27 快步,27;
huo'yun'zhan,10 货运站,10;
xian'dai'shi,13 现代史,13;
yiban,45 易班,45;
lian'zhui,12 连缀,12;
di'ba'shi,14 第八十,14;
pang'lijuan,7 庞丽娟,7;
chong'zheng,64 重整,64;
zhu'zhou,92 株洲,66;主轴,26;
nong'min'qi'yi,10 农民起义,10;
qingren,24 清人,24;
huang'quan,18 皇权,18;
kuang'kuang,12 框框,12;
you'sheng'you'yu,9 优生优育,9;
zhu'fang,7148 驻防,12;住房,7136;
lie'shibei,7 烈士碑,7;
ao'er'ta,9 奥尔塔,9;
lun'shu,356 论述,356;
gongke,5 龚克,5;
xiaoyang,8 肖央,8;
chen'li'fen,14 陈丽芬,14;
yin'chang,56 吟唱,56;
zhihe,5 纸鹤,5;
pin'qi,8 聘期,8;
gongtong,18 珙桐,18;
jie'shu'zheng,8 借书证,8;
yu'zhi,6 预支,6;
bi'sai,2828 比赛,2828;
yu'zhu,33 预祝,33;
wang'wen'zhong,31 王文忠,31;
qing'kuang,13222 情况,13222;
di'shui'chuan'shi,6 滴水穿石,6;
jing'xia,12 惊吓,12;
jing'xin,945 静心,5;精心,940;
langyouxing,6 郎友兴,6;
shichongtang,6 施崇棠,6;
fa'duan,65 发端,65;
wang'hui'min,19 王慧敏,19;
wang'dong,24 王东,15;王栋,9;
zhi'shu'zao'lin,152 植树造林,152;
sui'jun,138 随军,138;
jiaofei,83 交费,83;
fang'shui,73 防水,26;放水,47;
kong'huang,284 恐慌,284;
ya'taidui,17 亚泰队,17;
shi'hua'shi'shuo,28 实话实说,28;
zhifa,27 知法,27;
muzhuo,16 木桌,16;
yin'xiu'mei,9 殷秀梅,9;
sa'jiasi,12 萨迦寺,12;
he'erli,7 赫尔利,7;
pin'si,10 拼死,10;
zhong'ren'zai'jian,22 重任在肩,22;
yu'wen'ke,19 语文课,19;
you'di'yuan,36 邮递员,36;
fei'yan,40 肺炎,40;
shu'shuo,37 述说,37;
